idx;Id;Url;TipusOferta;TipusImmoble;Municipi;Provincia;Zona;PreuActual;DataOferta;Sup_m2;NumHabitacions;NumBanys;AnyConstruccio;Planta;Parking;Calefaccio;AC;Moblat;EficienciaEnergetica;ClasseEmissions;Jardi;Ascensor
0;i4190003760591;https://www.habitaclia.com/alquiler-piso-diputacio_nova_esquerra_de_la_eixample_dist_eixample_esquerra_alta_de_l_eixample-barcelona-i4190003760591.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Esquerra Alta de l´Eixample;1170;26-04-2020;71;2;;1940;1;False;False;False;True;G;G;False;True
1;i4190003644357;https://www.habitaclia.com/alquiler-piso-barceloneta_barceloneta-barcelona-i4190003644357.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Barceloneta;1300;26-04-2020;83;2;2;2018;;False;True;False;True;G;G;False;True
2;i2953003748180;https://www.habitaclia.com/alquiler-piso-dreta_de_leixample_dreta_de_l_eixample-barcelona-i2953003748180.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;2300;26-04-2020;175;4;2;;2;False;True;True;True;G;G;False;True
3;i4737003774686;https://www.habitaclia.com/alquiler-apartamento-sin_amueblar_con_balcon_sant_gervasi_galvany-barcelona-i4737003774686.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;1150;26-04-2020;60;2;2;;2;False;True;True;True;E;E;False;True
4;i12677002772608;https://www.habitaclia.com/alquiler-piso-ref_12668ob_dreta_de_l_eixample-barcelona-i12677002772608.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;2300;26-04-2020;179;3;2;1910;4;False;True;True;True;E;E;False;True
5;i4737003754079;https://www.habitaclia.com/alquiler-apartamento-2_habitaciones_y_sin_amueblar_putget_farro-barcelona-i4737003754079.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Putget - Farró;1350;26-04-2020;75;2;2;1950;2;False;True;False;True;E;F;False;True
6;i1762002655310;https://www.habitaclia.com/alquiler-apartamento-muy_luminoso_super_oferta_avenida_diagonal_600_sant_gervasi_galvany-barcelona-i1762002655310.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;1800;26-04-2020;75;1;2;2000;1;False;True;True;False;G;G;False;True
7;i8166003731668;https://www.habitaclia.com/alquiler-piso-excelente_amueblado_en_eixample_esquerra_alta_de_l_eixample-barcelona-i8166003731668.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Esquerra Alta de l´Eixample;1650;26-04-2020;97;2;2;1977;;False;True;True;False;G;D;False;True
8;i4737003771309;https://www.habitaclia.com/alquiler-apartamento-sin_amueblar_sant_gervasi_galvany-barcelona-i4737003771309.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;1787;26-04-2020;129;3;2;;4;False;True;True;True;D;D;False;True
9;i8166003732664;https://www.habitaclia.com/alquiler-piso-exclusivo_de_lujo_en_sant_gervasi_tres_torres-barcelona-i8166003732664.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Tres Torres;7000;26-04-2020;350;5;3;1979;;True;True;True;True;C;C;False;True
10;i8166003731609;https://www.habitaclia.com/alquiler-piso-preciosa_vivienda_en_el_eixample_esquerra_alta_de_l_eixample-barcelona-i8166003731609.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Esquerra Alta de l´Eixample;1850;26-04-2020;100;3;3;;;False;True;True;True;;;False;True
11;i4737003772860;https://www.habitaclia.com/alquiler-apartamento-amueblado_con_terraza_sant_gervasi_galvany-barcelona-i4737003772860.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;1500;26-04-2020;90;2;;;1;False;True;True;False;E;E;False;True
12;i8166003733885;https://www.habitaclia.com/alquiler-piso-amplio_y_comodo_en_placa_castello_sant_gervasi_galvany-barcelona-i8166003733885.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;5000;26-04-2020;311;3;3;1966;;True;True;True;True;E;D;False;True
13;i11172003718768;https://www.habitaclia.com/alquiler-piso-en_el_centro_de_calle_estruc_32_gotic-barcelona-i11172003718768.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Gòtic;1300;26-04-2020;60;1;2;1979;1;False;True;True;False;D;C;False;False
14;i8166003732349;https://www.habitaclia.com/alquiler-piso-exclusivo_de_lujo_en_sant_gervasi_tres_torres-barcelona-i8166003732349.htm?f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Tres Torres;6000;26-04-2020;350;6;4;1979;;True;True;True;True;E;E;False;True
